,Country,Total_over_65,Female_per,Physician,Underweight_total,Alcohol_cons_rec,Alcohol_cons_unrec,Alcohol_consumers_total,Heavy_drinking_total,Doc_num_per,beds,Life_expect_total_60,Dtt_dtp_immun,Dis_to_China,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED_PER100,FIRST_DATE_INT
35,Norway,17.5265774017425,49.4583897933352,4.885,1.0,7.465,7.14,79.0,51.1,44.846666666666664,37.11666666666667,24.66,97.0,106.93604579189703,79.59,72.803,-0.33488442191170287
17,Pakistan,4.3486496634514396,48.539631735789,1.1179,15.0,0.315,0.31,1.2,5.9,9.39,6.12,17.26,80.5,42.515186708285,40.65,27.495,0.8628026590738173
11,Peru,8.72526306831275,50.325480714667904,0.82,1.3,6.505,6.78,53.2,57.0,10.886666666666665,15.604,24.38,88.0,191.4816261996254,72.448,62.161,1.03390081350032
31,Philippines,5.511648644303349,49.782551432119895,0.6004,12.3,6.78,7.02,33.1,43.2,6.0,9.9,17.77,74.0,22.362417270310424,54.386,39.267,1.6042279949219964
25,Poland,18.739450673668,51.5468217030299,2.4146,1.3,11.670000000000002,11.89,68.0,63.5,22.97,66.11666666666667,22.13,95.0,94.57559066433853,56.613,55.009,-0.33488442191170287
19,Portugal,22.7722689742347,52.6902753996952,5.3117,0.9,11.955,12.09,69.2,51.5,46.78625,33.85,24.34,99.0,120.18705166325445,90.128,82.18,-0.33488442191170287
21,Qatar,1.68913935286855,24.8493609990767,2.4852,1.3,1.605,1.51,45.6,51.1,23.04666666666667,12.5,19.5,90.0,61.068463081985186,71.63886842105265,65.22797368421051,-0.33488442191170287
28,Romania,19.23091497831,51.377135769267795,2.9807,1.3,11.690000000000001,12.34,67.2,64.3,25.932,67.816,20.25,87.5,87.79532683804142,41.029,40.071,0.6631881455762306
1,Russia,15.508928247530699,53.6502214761339,4.4395,1.4,11.83,10.5,58.1,72.4,46.0975,82.6,19.93,97.0,29.357562939548135,49.187,43.576,-1.2295337476269088e-15
14,Saudi Arabia,3.4984589906707,42.174455943087295,2.6117,2.0,0.195,0.0,5.8,3.0,25.01,23.04,19.9,95.5,67.31145287534883,71.582,66.109,0.06434460508347051
22,Singapore,13.351544234508,47.6567955075455,2.2936,5.9,2.05,2.0,70.0,53.2,19.444000000000003,23.592000000000002,25.54,96.0,32.589568028830726,82.032,81.1,-0.13526990841411618
2,Spain,19.9776116999208,50.8535030522973,4.0299,0.6,12.02,12.67,68.6,49.5,38.3875,29.7,25.39,97.0,115.78333672107277,82.368,74.863,-0.13526990841411618
20,Sweden,20.3288061061869,49.90779531589911,4.331,1.1,9.030000000000001,9.04,73.0,50.4,41.105714285714285,23.76666666666667,24.5,97.5,97.04416063652289,71.586,69.035,-0.33488442191170287
18,Switzerland,19.0975411751085,50.3889368658443,4.3328,1.9,11.555,11.23,81.2,55.6,41.198750000000004,47.13333333333333,25.43,96.0,104.49125030026272,69.017,64.225,-0.33488442191170287
0,US,16.6309257142475,50.518215644360104,2.6036,1.1,9.844999999999999,9.97,71.7,46.7,26.04,28.32,23.13,93.5,211.90538344394602,72.476,59.939,-0.5915316535514572
24,United Arab Emirates,1.2644076550174599,30.8789432176656,2.5278,1.7,3.8449999999999998,3.85,18.5,39.2,20.245,10.004,19.92,94.5,58.70597096432973,71.63886842105265,65.22797368421051,-0.5915316535514572
3,United Kingdom,18.653346710856198,50.590087759474,5.8233,1.0,11.33,11.45,73.4,52.4,54.91888888888889,25.95714285714286,24.13,93.0,153.62377200862778,75.666,69.133,-0.3919171400538705
